PuzzleType,TimeToSolve,isFun
Logic,30.48,No
Logic,29.90,No
Logic,34.15,No
Logic,35.28,Yes
Logic,34.50,Yes
Logic,17.66,Yes
Logic,27.87,No
Logic,36.58,Yes
Logic,24.64,Yes
Logic,35.39,No
Logic,36.97,No
Logic,33.13,No
Logic,30.73,Yes
Logic,35.77,No
Logic,28.41,Yes
Logic,25.84,No
Logic,23.51,No
Logic,36.13,Yes
Logic,36.96,No
Logic,32.63,No
Logic,33.50,Yes
Logic,36.21,No
Logic,34.03,Yes
Logic,18.88,No
Logic,37.58,No
Logic,36.97,No
Logic,35.87,Yes
Logic,32.21,Yes
Logic,32.92,Yes
Logic,16.20,No
Logic,37.38,No
Logic,36.05,No
Logic,34.58,Yes
Logic,32.76,Yes
Logic,32.99,No
Logic,36.77,Yes
Logic,36.37,Yes
Logic,31.87,Yes
Logic,19.80,Yes
Logic,37.19,No
Logic,35.69,Yes
Logic,17.08,Yes
Logic,28.37,No
Logic,37.08,No
Logic,29.93,Yes
Logic,34.07,No
Logic,33.66,Yes
Logic,31.44,No
Logic,36.25,Yes
Logic,37.36,Yes
Logic,28.05,Yes
Logic,37.24,No
Logic,24.15,No
Logic,29.29,Yes
Logic,30.08,No
Logic,36.76,Yes
Logic,35.31,No
Logic,33.21,No
Logic,36.34,No
Logic,35.22,No
Logic,27.17,Yes
Logic,36.91,No
Logic,35.78,No
Logic,36.43,No
Logic,9.45,No
Logic,31.21,No
Logic,36.15,Yes
Logic,36.46,Yes
Logic,34.17,No
Logic,25.46,No
Logic,36.71,No
Logic,35.52,No
Logic,37.36,No
Logic,31.23,No
Logic,35.49,No
Logic,32.98,Yes
Logic,24.76,Yes
Logic,33.69,Yes
Logic,37.07,No
Logic,16.45,No
Logic,26.26,No
Logic,36.17,No
Logic,35.28,Yes
Logic,34.62,No
Logic,25.29,No
Logic,23.04,Yes
Logic,34.16,Yes
Logic,36.02,Yes
Logic,28.66,Yes
Logic,37.02,No
Logic,25.28,Yes
Logic,36.94,No
Logic,31.32,No
Logic,32.08,Yes
Logic,34.11,Yes
Logic,33.14,No
Logic,35.14,Yes
Logic,33.71,No
Logic,28.43,Yes
Logic,35.32,Yes
Logic,28.20,Yes
Logic,33.57,No
Logic,32.32,No
Logic,35.86,No
Logic,35.16,No
Logic,36.88,No
Logic,36.89,No
Logic,32.91,No
Logic,37.62,Yes
Logic,37.64,No
Logic,37.14,No
Logic,36.98,No
Logic,34.43,No
Logic,27.01,No
Logic,35.35,Yes
Logic,36.95,Yes
Logic,13.17,No
Logic,33.70,Yes
Logic,30.32,Yes
Logic,26.30,No
Logic,37.17,Yes
Logic,36.07,Yes
Logic,35.34,No
Logic,26.98,No
Logic,32.48,No
Logic,27.54,Yes
Logic,31.28,No
Logic,28.44,No
Logic,11.78,No
Logic,37.28,No
Logic,32.56,Yes
Logic,36.79,Yes
Logic,34.04,Yes
Logic,31.99,No
Logic,30.95,No
Logic,36.51,Yes
Logic,33.44,Yes
Logic,34.91,Yes
Logic,34.42,Yes
Logic,30.76,No
Logic,14.53,No
Logic,37.32,No
Logic,26.02,No
Logic,35.88,No
Logic,29.99,Yes
Logic,34.00,Yes
Logic,33.59,No
Logic,21.09,No
Logic,34.32,No
Logic,31.87,No
Logic,29.61,Yes
Logic,34.66,Yes
Logic,35.17,Yes
Logic,33.77,No
Logic,36.11,No
Logic,33.11,No
Logic,36.91,Yes
Logic,21.93,No
Logic,23.00,No
Logic,30.13,No
Logic,19.59,No
Logic,17.95,No
Logic,36.70,No
Logic,31.95,Yes
Logic,33.21,Yes
Logic,32.31,No
Logic,28.86,No
Logic,33.76,No
Logic,37.10,Yes
Logic,36.28,No
Logic,33.70,Yes
Logic,35.39,No
Logic,35.00,No
Logic,33.58,No
Logic,36.87,No
Logic,34.97,No
Logic,36.55,No
Logic,29.31,No
Logic,35.13,No
Logic,32.43,No
Logic,35.82,Yes
Logic,31.38,No
Logic,37.07,Yes
Logic,33.42,No
Logic,29.62,No
Logic,27.65,No
Logic,31.84,Yes
Logic,32.09,No
Logic,34.69,No
Logic,36.18,No
Logic,34.65,No
Logic,27.67,Yes
Logic,30.64,Yes
Logic,37.37,No
Logic,37.35,Yes
Logic,35.57,No
Logic,35.85,No
Logic,37.66,No
Logic,37.32,No
Logic,34.56,No
Logic,34.58,Yes
Logic,28.78,No
Logic,35.14,Yes
Logic,34.81,No
Logic,35.90,Yes
Logic,36.18,No
Logic,33.11,No
Logic,28.71,Yes
Logic,37.45,Yes
Logic,30.27,No
Logic,34.07,Yes
Logic,36.97,No
Logic,33.12,No
Logic,28.85,Yes
Logic,32.20,No
Logic,34.00,Yes
Logic,13.01,No
Logic,32.56,No
Logic,24.15,Yes
Logic,34.12,Yes
Logic,32.35,No
Logic,33.74,No
Logic,15.94,Yes
Logic,24.91,No
Logic,31.40,No
Logic,34.79,No
Logic,34.99,Yes
Logic,23.13,No
Logic,37.12,No
Logic,36.95,Yes
Logic,35.64,No
Logic,30.90,No
Logic,37.16,No
Logic,34.40,No
Logic,36.27,No
Logic,22.58,No
Logic,27.10,No
Logic,33.91,Yes
Logic,30.89,No
Logic,32.82,Yes
Logic,28.62,No
Logic,37.19,No
Logic,36.15,No
Logic,27.35,No
Logic,35.86,Yes
Logic,37.54,Yes
Logic,35.01,No
Logic,31.95,No
Logic,24.70,No
Logic,35.03,No
Logic,27.95,No
Logic,36.72,No
Logic,33.27,Yes
Logic,34.77,No
Logic,37.56,No
Logic,29.41,Yes
Logic,20.01,No
Logic,35.80,Yes
Logic,34.96,No
Logic,29.88,Yes
Logic,35.32,Yes
Logic,32.79,Yes
Logic,15.99,No
Logic,27.74,No
Logic,36.67,Yes
Logic,36.76,No
Logic,25.37,Yes
Logic,34.34,Yes
Logic,37.63,No
Logic,28.66,Yes
Logic,35.37,No
Logic,20.51,No
Logic,35.94,No
Logic,29.00,No
Logic,27.70,Yes
Logic,30.87,No
Logic,35.64,Yes
Logic,30.22,Yes
